公司代號,公司名稱,合計：共 861 家,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
2489,瑞軒,,9.15,-6.80,3644.95,-16.11,-13.38
2491,吉祥全,,22.93,-4.90,95.05,-2.16,-2.16
2492,華新科,,22.79,11.32,4649.56,11.06,9.35
2493,揚博科技,,30.61,12.73,548.84,7.21,5.92
2495,普安,,40.89,1.20,402.48,-2.32,-2.30
2496,卓越成功,,52.81,28.22,124.61,30.37,29.06
2497,怡利電子,,18.35,-3.25,617.20,-6.68,-6.03
2498,宏達電,,16.26,-16.22,14530.82,-14.04,-13.99
2499,東貝光電,,20.95,-2.25,1574.17,-11.14,-10.50
2501,國建,,18.52,13.12,4984.85,12.49,12.44
2504,國產,,8.01,-0.39,3672.17,78.39,77.54
2505,國揚實業,,20.87,9.61,836.09,7.62,7.62
2506,太設,,51.74,16.77,533.53,18.96,17.81
2509,全坤建,,14.66,0.66,254.50,-3.27,-5.63
2511,太子,,39.01,9.51,2018.32,7.78,6.84
2514,龍邦國際,,98.81,75.97,227.05,66.57,66.57
2515,中工,,9.40,2.34,2329.15,1.87,1.25
2516,新建,,-0.52,-2.23,2095.22,-1.50,-1.88
2520,冠德,,28.67,8.18,2159.65,6.15,3.69
2524,京城,,42.84,23.47,439.26,16.07,14.01
2527,宏璟,,65.10,-44.64,44.06,-53.77,-85.46
2528,皇普建設,,40.53,23.01,52.77,58.63,56.17
2530,華建,,22.35,-13.56,58.33,-53.48,-54.73
2534,宏盛,,46.63,42.46,2065.01,44.03,41.60
2535,達工,,12.00,8.32,2636.32,4.87,3.85
2536,宏普建設,,37.70,-0.64,39.98,378.48,377.55
2537,聯上開發,,42.31,-8600.96,0.21,-8402.88,-8402.88
2538,基泰建設,,36.37,23.87,191.74,-35.43,-35.43
2539,櫻花建設,,39.04,31.45,814.16,31.39,28.91
2540,愛山林,,57.82,22.40,153.58,6.57,4.62
2542,興富發,,22.59,9.51,3931.41,9.87,9.04
2543,皇昌營造,,5.34,2.63,1171.97,2.66,2.24
2545,皇翔,,36.25,17.96,744.65,8.95,38.13
2546,根基,,6.44,2.66,1635.80,2.77,2.30
2547,日勝,,60.84,-58.54,1012.07,-64.74,-70.92
2548,華固建設,,30.53,12.57,588.88,21.16,14.16
2597,潤弘精密,,15.95,6.93,1836.39,6.95,5.76
2601,益航,,70.48,14.04,1846.34,20.11,14.26
2603,長榮海運,,6.18,1.94,33838.90,0.66,0.50
2605,新興,,25.79,20.52,863.47,27.46,23.79
2606,裕民,,4.34,0.24,1793.79,-0.48,-0.97
2607,榮運,,15.91,12.88,1870.44,11.35,9.42
2608,嘉里大榮,,15.19,10.64,2279.09,11.01,8.66
2609,陽明海運,,0.60,-3.93,30254.85,-2.97,-2.89
2610,華航,,7.82,-1.03,35796.47,-9.82,-10.37
2611,志信,,27.55,-3.10,257.28,-12.66,-11.83
2612,中航,,18.45,6.99,775.25,-8.20,-9.36
2613,中櫃,,4.08,-0.74,609.94,-1.40,-1.28
2614,東森,,32.48,-7.02,2252.76,-5.84,-6.05
2615,萬海,,6.91,0.10,13876.89,-1.70,-1.44
2616,山隆通運,,8.83,1.94,4169.13,9.47,8.47
2617,台航,,3.97,0.45,647.45,3.21,2.65
2618,長榮航空,,9.00,0.76,38064.70,-0.77,-1.53
2633,台灣高鐵,,45.70,43.59,10805.13,18.07,15.00
2634,漢翔公司,,14.31,10.61,5918.92,2.31,1.89
2636,台驊投控,,17.60,2.51,2437.59,2.11,1.21
2637,慧洋-KY,,14.71,12.89,2608.47,1.64,1.64
2642,宅配通,,17.10,2.45,710.62,7.47,7.01
2701,萬企,,50.66,43.14,96.44,91.19,75.68
2702,華園,,73.09,8.03,329.35,1.64,1.98
